,id,scaled_mfcc,scaled_rp,scaled_bh,bpm,scaled_rh,scaled_levenshtein,key,scale,scaled_corr,scaled_skl,scaled_js,aggregated
67,music/Rock/TheOffspring-You'reGonnaGoFarKidmp3,0.5043593752356439,0.502234862386701,0.7668543488745331, 126.112625122,0.512276717646396,0.10463632496809869, C, major,0.8977393198321024,0.3012953155907273,0.1668039741330964,0.4695250298334124
68,music/HipHop/Romano-Köpenickmp3,0.5384490481241485,0.5720818561475496,0.863462856447386, 94.9803924561,0.621317799442348,0.09527860484900043, E, minor,0.8984551109848605,0.16421271445041846,0.0843259848010445,0.47969799690584447
69,music/Metal/InFlames-TheNewWordmp3,0.5245756063066278,0.31551828163120416,0.8597985531000873, 166.092803955,0.2713417061322328,0.1922586133560187, G, minor,0.9038004802445667,0.6455811940863712,0.18370938612816332,0.48707297762315893
70,music/Reggae/DamianMarley-HeyGirlmp3,0.1865427158582299,0.8140839480231156,0.6119597194875916, 96.3729705811,0.7463992924675071,0.132284134410889, F#, minor,0.9803142210558602,0.276828085696165,0.1522031869518757,0.48757691299390427
71,music/Electronic/CaravanPalace-LoneDiggermp3,0.2075916309325719,0.6401895529560763,0.887485780013441, 123.504524231,0.7693356702555929,0.15142492556358997, A#, minor,0.9366702623969934,0.18147110000413028,0.1309892057808765,0.488144765987909
72,music/Jazz/PaoloFresuJanLundgren-Kristallendenfinamp3,0.4201152204621889,0.3383624004262718,0.553612466833887, 140.128921509,0.414191433226621,0.12505316886431306, D, minor,0.8397692236856025,1.0,0.2219798385792066,0.48913546900976135
73,music/HipHop/PrinzPi-KompassohneNordenmp3,0.4054673416347029,0.6740333865295698,0.7592009672749933, 84.9720001221,0.7649240673558766,0.1118672905146746, C, major,0.9743233724394046,0.10697671856184209,0.13690325409766882,0.49171204980109157
74,music/Electronic/MiikeSnow-GenghisKhanmp3,0.3170037652760113,0.683074647205167,0.9819210114177777, 93.9685592651,0.7027406796886869,0.0842194810718843, A#, major,0.8923544539780773,0.1578668337053959,0.12705229894602893,0.4932791464111287
75,music/Metal/Metallica-MothIntoFlamemp3,0.6414640170652296,0.3662488963410415,0.7210303833020031, 90.3373794556,0.36374331276111327,0.1748192258613356, A, minor,0.9161483096803511,0.5985101836385436,0.1859368030287791,0.49598764145979957
76,music/Soundtrack/PiratesOfTheCarribean-HansZimmer-DavyJonesmp3,1.0,0.4044395856710096,0.7181620555835069, 129.928344727,0.4795725831469398,0.10633772862611654, D, major,0.8684889272706127,0.30062482295660503,0.14247261767306946,0.5025122901159825
77,music/HipHop/KontraK-ErfolgistkeinGlückmp3,0.3940931583242427,0.7301673237229143,0.8529859283790417, 79.8573379517,0.7777269882397088,0.07868991918332624, C#, major,0.9972117910019291,0.15775849573560363,0.08918087187568897,0.5097268095578069
